,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46,positif nse positif respon masyarakat hadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0,0,0,0,0,0,0,0,0,0,0,0
47,sembahyang adopsi tradisi lokal kerja hindu istilah xc2 xa0sembahyang xc2 xa0pun lahir tradisi ritus xc2 xa0menyembahhyang tunggal xc2 xa0shalat sembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,didik  larang bawa agama biar orang islam bayar ahok sadar pilih ahok ,1,1,1,0,0,0,0,0,1,1,0,0
49,ahok the best abai kaum  otak micin,1,1,0,1,0,0,0,0,1,0,1,0
50,sih otak tempurung laden lawan  makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden  xf0 x9f x98 x8b,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur 3 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
53,cerita silat lae xf0 x9f x98 x80 kho merah muda oh indonesia liang ie shen tulis cina,0,0,0,0,0,0,0,0,0,0,0,0
54,benci umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibu kota  deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
56,gue ,0,1,0,0,0,0,0,0,0,0,0,0
57,wkwk  lowo,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur lahir kuasa rakyat ulama cendikia  makhluk alim amp ibadah atus ratus laknat hasud takabur orang ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang suka konser konser boros,0,0,0,0,0,0,0,0,0,0,0,0
60,makan racun ulama hukum rokok mubah,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,0,0,0,0,0,0,0,0,0,0,0,0
62,kali gue gemar korea pop omong teman teman gue idol gue  ,1,1,1,0,0,0,0,1,0,1,0,0
63,suka video uniform resource locator kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya  sungguh islam indah,0,0,0,0,0,0,0,0,0,0,0,0
65,xf0 x9f x8e xb6 hem hem xf0 x9f x8e xa7 diam  coba rumput goyang xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa,0,0,0,0,0,0,0,0,0,0,0,0
66, bisik was was lindung allah qs al a xe2 x80 x99raf 200 fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0
67, sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
68, jokowi ,1,1,1,0,0,0,0,0,1,0,0,1
69,selamat kakak 2019 ganti presiden 2019 presiden,0,0,0,0,0,0,0,0,0,0,0,0
70,bajing  hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
71,iya ,1,1,1,0,0,0,0,0,1,1,0,0
72,budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
73,ajar salat a orang  pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
74,x bicara ,1,1,1,0,0,0,0,0,1,1,0,0
75,percaya negara jajah ranah bubar sistem sistem beraja negara negara republik  negara negara jaja,0,0,0,0,0,0,0,0,0,0,0,0
76,nikmat bijak usul partai  indonesia iya,1,0,0,1,0,1,0,0,0,0,1,0
77,umpama orang cina usir paksa indonesia,1,0,0,1,0,1,0,0,0,0,1,0
78,bunda  yuk,0,1,0,0,0,0,0,0,0,0,0,0
79,cina  cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
80,karno anti  beliau jawa coba deh adakan konsensus jawa anti  pro  kebo ohannya keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi  susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
82,wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas  kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi senang kompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0
84,kitab suci agama bilang om dadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
85,suka tutup mata tutup lihat te utup gara gara ,0,0,0,0,0,0,0,0,0,0,0,0
86,muslim  kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0
87,eh kasar ,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar gue rilis album the  sih wkwk,0,0,0,0,0,0,0,0,0,0,0,0
89, bang,1,1,1,0,0,0,0,0,1,1,0,0
90, banget gue mentwit barusan he,0,1,0,0,0,0,0,0,0,0,0,0
91,  uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
92,awas bintit intip  kucing,0,1,0,0,0,0,0,0,0,0,0,0
93,bawel bawa asa bolot bodor wkwk ya deh,0,1,0,0,0,0,0,0,0,0,0,0
94,gue saran  maling ayat langsung to the point orang paham riak  sesat liberal puja dukun bla blaaa hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0
95,salah target ahok agenda utama  jokowi,1,0,1,0,0,0,0,0,1,0,0,1
96,kena tagar panas banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju duit goyang kaki pape duit nak maju kat  uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
98,huria kristen batak protestan pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah huria kristen batak protestan p kali tarutung k,0,0,0,0,0,0,0,0,0,0,0,0
99,baca biar pintar jepang amerika cina utang tau,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo kalah bantu jokowi citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
101,takut azan ,0,0,0,0,0,0,0,0,0,0,0,0
102,   tukang tipu jilat kuasa gerak bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0,0,0,0,1,0,1,0
103, sewot xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,1,1,1,0,0,0,0,0,1,1,0,0
104,2 gerak tekan kerja keras total tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
106, rusak sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0
107,orang orang tuding    sungguh be epuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
108,anti ,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat semoga kiprah tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
110,asyik menang sih ulama,0,0,0,0,0,0,0,0,0,0,0,0
111,ketapang tenaga kerja   kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0,0,0,0,0,0,0,0,0,0,0,0
112,anak  hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
113,bom surat harga syariat negara,0,0,0,0,0,0,0,0,0,0,0,0
114,istirahat presiden momentum saksi telinga mata rapat bentuk pacitan 2003,0,0,0,0,0,0,0,0,0,0,0,0
115,1979 house select committee on assassination hsca temu  investigasi laku fbi warren commission hsca simpul tembak laku konspirasi,0,0,0,0,0,0,0,0,0,0,0,0
116,asa genap 1 17 april 2018 gelar hajat pilih presiden acara negara indonesia pilih presiden semoga senantiasa jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
117,ian ,0,1,0,0,0,0,0,0,0,0,0,0
118,orang pintar agama agama  hujat orang orang  orang maaf lahir  harga cipta tuhan  pintar licik,0,1,0,0,0,0,0,0,0,0,0,0
119,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
120,sih  tau perintah   bobrok koruptor pimpin sidang dewan wakil rakyat paya  uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0
121,gue mantan mantan gue sedih pikir tidur kamu gue anak  laki laki,0,1,0,0,0,0,0,0,0,0,0,0
122,cina rusak bangsa usir tuju,1,0,0,1,0,1,0,0,0,0,0,1
123,2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
124,mari wujud pilih kepala daerah kota bengkulu 2018 aman damai cok adem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0
125,serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
126,nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowok jago drasex  adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
128,kroasia  tau ajar  lupa kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
129,nya menteri suha o ,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau  takut orang ubah perlahan lahan buruk,0,0,0,0,0,0,0,0,0,0,0,0
131,perang salib raja afrika babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setor  rupiah turun xf0 x9f x98 xa5,1,1,1,0,0,0,0,0,1,1,0,0
133,semoga tindak lapor hadap  agama adik armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0
134, hajar,1,1,1,0,0,0,0,0,1,0,0,1
135, mati minum,1,0,0,1,0,0,0,0,1,0,1,0
136,uniform resource locator ahok tng was was hidup,1,0,1,0,0,0,0,0,1,1,0,0
137,sul teng ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0
138,6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania angkuh harga sombong kenal hubris vanity harga ubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta,0,0,0,0,0,0,0,0,0,0,0,0
139,be anya tuju hati logika hati tenang be anya logika hati sedih ku cari wasiat beliau tinggal   mata manusia duhai,0,0,0,0,0,0,0,0,0,0,0,0
140,be aji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
141,admin  ai  ai  orang ,1,1,0,1,0,0,0,0,1,0,1,0
142,ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
143,video tenaga kerja  malaysia kutip nyata,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi pagi samper meja kerja pakai bedak sih biar muka bersih istri butek ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
146,gue ,0,1,0,0,0,0,0,0,0,0,0,0
147,  sodok  gede,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
149,bicara mulut sepe i  beli kaca lihat bro,1,1,1,0,0,0,0,1,0,1,0,0
150,amin racist nada nada ratna sih paiiit nada sih  nada sih lobang anus takut oi oi habis obat tenang ya,1,1,1,0,0,0,0,0,1,1,0,0
151,tunggu komando imam  cabul  bir xf0 x9f x8d xba bawa ulama dasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet beranta pecah belah ,1,0,0,1,0,0,0,0,1,0,1,0
153,ih pintar orang politik kaca oi tampang k xc3 xa6k orang  wkwk,1,1,1,0,0,0,1,0,0,1,0,0
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah  cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1,1,0,1,0,0,0,0,1,0,1,0
155,percaya mulut  mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
156,2019 susilo bambang yudhoyono prabowo lawan mega jokowi peristiwa 2004 ulang partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden selesai 3 poros pilih presiden mk salah lawan,0,0,0,0,0,0,0,0,0,0,0,0
157,kayak  kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal,0,0,0,0,0,0,0,0,0,0,0,0
159,5 indonesia negara populasi muslim dunia islam rupa musuh barat amp  hambat agenda obviously,0,0,0,0,0,0,0,0,0,0,0,0
160,umuh persib persib  xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,1,1,0,1,0,0,0,0,1,0,1,0
161,film muslim pilih ahok mati salat jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
162,banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
163,eh muka merah merah cendol  cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0
164,berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak  ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat tuju pilih kepala daerah 2018 desa lobusiregar i rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,sayang banget ya lihat perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung xe2 x80 x93 viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
167,lupa kang umat katolik minoritas perhati gubernur golong golong,0,0,0,0,0,0,0,0,0,0,0,0
168, bilang kemarin eyel situ paksa ,1,1,1,0,0,0,0,0,1,1,0,0
169,lemah gerindra orang prabowo turun elektabilitasnya  fadli zon surat pemberitahuan durno,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat kakak kali raya makna kali,0,0,0,0,0,0,0,0,0,0,0,0
171,foto  milik a i susah ikan sepe i susah ikan putus,0,0,0,0,0,0,0,0,0,0,0,0
172,wkwk alam xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 muncul grub wa a  abdi had a k a mbah mek kenal orang xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4,0,0,0,0,0,0,0,0,0,0,0,0
173,ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gerak badan chubby,0,0,0,0,0,0,0,0,0,0,0,0
174,orang anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia pilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
175,haha sialaaan nih sih nyata lapar presiden sikat,0,0,0,0,0,0,0,0,0,0,0,0
176,nasihat kali ugal ugalan nih  eh negeri keburu hancur ekonomi moral meni kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
177,alah  kebelet kasihan orang sayang media sosial gue sadar instansi kemarin gue cerita duuuhhh xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f x98 x85,0,1,0,0,0,0,0,0,0,0,0,0
178,iya ,0,0,0,0,0,0,0,0,0,0,0,0
179,2019 rakyat makan aspal beton solusi jitu miskin ahli  1 tukang tipu   ketulungan plonga plongo akibat optimisme 2019 ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0
180,baca harun yahya belot kubu yahudi freemason nya kadang suka percaya,0,0,0,0,0,0,0,0,0,0,0,0
181,maju ulama gerak tokoh agama indonesia gus mus,0,0,0,0,0,0,0,0,0,0,0,0
182,,0,0,0,0,0,0,0,0,0,0,0,0
183,mukidi percaya pe anyaan mudah ya keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0
184,kemarin hujat harap dasar  ,1,1,0,1,0,0,0,0,1,0,1,0
185,fitnah sila ban apollinaris darmawan al alquran kitab ,1,1,0,1,1,0,0,0,0,0,1,0
186, koloe bilang saudara ogah hidup ya hati comberan,1,1,1,0,0,0,0,0,1,1,0,0
187,body lufra scrub bahan dasar lidah  melembabkan kulit amp cahaya info 087812026394 body mass indeks,0,0,0,0,0,0,0,0,0,0,0,0
188,,0,0,0,0,0,0,0,0,0,0,0,0
189,anut bumi datar xf0 x9f x98 x9d teori bumi bulat orang  notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
190,becak warga binjai sita tenda be uliskan 2019 ganti presiden partai adil sejahtera radang bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
191,jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
192,musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi 2019 romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
193,cerah nya gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
194,kafan budaya yahudi umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0
195, kendali negara cina  patron tunggal  anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
196,tanda nya pilih kepala daerah pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0
197,misi 4 bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nomor jawa barat asyik asyik menang,0,0,0,0,0,0,0,0,0,0,0,0
198,tabah pasang taufik puan nurliyana wajar contoh jom sumbang ringan beban pasang come on twitter do your pikir badan standar nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
199,sih  doang belaganya langit karma idol flop gue tertawa keras,1,1,1,0,0,0,0,0,1,1,0,0
200, kangen gue iya,0,1,0,0,0,0,0,0,0,0,0,0
201,rang negeri budaya yuk unjung purwoke o mumpung even rakyat purwoke o ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0,0,0,0
202,presiden dana taktis rakyat program program perintah program bangun infrastruktur kip kartu indonesia sehat ifikat tanah hutan sosial bahan bakar minyak 1 harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
203,amin ya allah tim latih ular rawa rawa sungai gede musuh  wkwk,0,0,0,0,0,0,0,0,0,0,0,0
204,maju maki mama bolot,1,1,1,0,0,0,0,0,1,1,0,0
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura  dasar gerombol cingkrang uniform resource locator,1,1,0,1,0,0,1,0,0,0,1,0
206,gentar takut hadap  xf0 x9f x98 x81,0,0,0,0,0,0,0,0,0,0,0,0
207,saracen akun kritis anggap saracen aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
208, teman gue  kesal gue,1,1,1,0,0,0,0,0,1,1,0,0
209, kristen ulah,1,1,0,1,1,0,0,0,0,0,1,0
210,tau bau bau cir  buluk,1,1,1,0,0,1,0,0,0,1,0,0
211,kayak pegang ,0,0,0,0,0,0,0,0,0,0,0,0
212,guru tk darma wanita desa plumbon porong deklarasi anti hoaks benci isu sarah dukung pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
213, seram main xf0 x9f x98 x82 xf0 x9f x91 x8c,0,1,0,0,0,0,0,0,0,0,0,0
214,kayak bank te entu bilang jual uang  tukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
215, yaman nih gue depo asi,1,1,1,0,0,0,0,0,1,0,0,1
216,hati hati berita pilih kepala daerah bau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjung,0,0,0,0,0,0,0,0,0,0,0,0
217,anak  ya,1,1,1,0,0,0,0,0,1,1,0,0
218,xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88 xf0 x9f x99 x88udah hoaks ya fahri ambil berita tuyg tong  ambil screenshoot tau berita,1,0,1,0,0,0,0,0,1,1,0,0
219,mantap direct message baris serba bang,0,0,0,0,0,0,0,0,0,0,0,0
220,nyata lebah suka bunga makan  gue penasaran madu nya kayak xf0 x9f xa4 x94,0,0,0,0,0,0,0,0,0,0,0,0
221,indonesia mundur bentuk,1,0,1,0,0,0,0,0,1,1,0,0
222, bilang hacker haha,0,1,0,0,0,0,0,0,0,0,0,0
223,haha blunder  protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1,1,1,0,0,0,0,0,1,1,0,0
224, gue selam 1,0,1,0,0,0,0,0,0,0,0,0,0
225,pancing pancing urus  bicara paham fiksi kitab suci,0,0,0,0,0,0,0,0,0,0,0,0
226, kacung teman gue  tulang sumsum buang buang energi debat xf0 x9f x98 x82,1,1,0,1,0,0,0,0,1,0,1,0
227,ai korupsi sapi ,1,1,0,1,0,0,0,0,1,0,1,0
228,sinyal  pelihara niat sih login twitter doang susah open redtube ,1,1,0,1,0,0,0,1,0,0,1,0
229,mata  wkwk,0,0,0,0,0,0,0,0,0,0,0,0
230,facebook  lupa,0,1,0,0,0,0,0,0,0,0,0,0
231,sih bilang alah ,0,1,0,0,0,0,0,0,0,0,0,0
232,nikita mirzani pakai hijab bicara cebang  fantasi uh ah cokorers,1,1,1,0,0,0,0,0,1,1,0,0
233,tatap alih arah enggan tatap pria curiga pe kali gaduh suasana angie temu orang pria  tidur sofa sepe i,0,0,0,0,0,0,0,0,0,0,0,0
234,lahir kembang gerak  indonesia pisah buah organisasi nama indische sociaal democratische vereeniging,0,0,0,0,0,0,0,0,0,0,0,0
